file,rows,cols,base_cols_count,timestamp_cols_count,null_cells,duplicate_rows,metrics_count,min_value,max_value,min_timestamp,max_timestamp,parse_timestamp_nulls,parse_value_nulls
AVAILABILITY-data (63).csv,1,367,4,363,2,0,1,2592678.0,3346679.0,2026-02-04 10:59:40,2026-02-04 12:00:00,0,0
AVAILABILITY-data (64).csv,1,367,4,363,2,0,1,3345695.0,4165384.0,2026-02-04 11:59:40,2026-02-04 13:00:00,0,0
AVAILABILITY-data (65).csv,1,367,4,363,2,0,1,4159992.0,4957453.0,2026-02-04 12:59:40,2026-02-04 14:00:00,0,0
AVAILABILITY-data (66).csv,1,367,4,363,2,0,1,4874487.0,5645867.0,2026-02-04 13:59:40,2026-02-04 15:00:00,0,0
AVAILABILITY-data (67).csv,1,367,4,363,2,0,1,5463614.0,5917626.0,2026-02-04 14:59:40,2026-02-04 16:00:00,0,0
AVAILABILITY-data (68).csv,1,367,4,363,2,0,1,5760867.0,5901610.0,2026-02-04 15:59:40,2026-02-04 17:00:00,0,0
AVAILABILITY-data (69).csv,1,367,4,363,2,0,1,5608019.0,5890138.0,2026-02-04 16:59:40,2026-02-04 18:00:00,0,0
AVAILABILITY-data (7).csv,1,367,4,363,2,0,1,3466178.0,4386731.0,2026-02-01 12:59:40,2026-02-01 14:00:00,0,0
AVAILABILITY-data (70).csv,1,367,4,363,2,0,1,5393105.0,5614565.0,2026-02-04 17:59:40,2026-02-04 19:00:00,0,0
AVAILABILITY-data (71).csv,1,367,4,363,2,0,1,4924786.0,5428814.0,2026-02-04 18:59:40,2026-02-04 20:00:00,0,0
AVAILABILITY-data (72).csv,1,367,4,363,2,0,1,4586647.0,4958987.0,2026-02-04 19:59:40,2026-02-04 21:00:00,0,0
AVAILABILITY-data (73).csv,1,367,4,363,2,0,1,3652955.0,4590817.0,2026-02-04 20:59:40,2026-02-04 22:00:00,0,0
AVAILABILITY-data (74).csv,1,367,4,363,2,0,1,2583293.0,3655487.0,2026-02-04 21:59:40,2026-02-04 23:00:00,0,0
AVAILABILITY-data (75).csv,1,367,4,363,2,0,1,1134935.0,2586932.0,2026-02-04 22:59:40,2026-02-05 00:00:00,0,0
AVAILABILITY-data (76).csv,1,297,4,293,2,0,1,0.0,16801.0,2026-02-05 06:11:20,2026-02-05 07:00:00,0,0
AVAILABILITY-data (77).csv,1,367,4,363,2,0,1,15357.0,50359.0,2026-02-05 06:59:40,2026-02-05 08:00:00,0,0
AVAILABILITY-data (78).csv,1,367,4,363,2,0,1,50353.0,539494.0,2026-02-05 07:59:40,2026-02-05 09:00:00,0,0
AVAILABILITY-data (79).csv,1,367,4,363,2,0,1,537749.0,1728353.0,2026-02-05 08:59:40,2026-02-05 10:00:00,0,0
AVAILABILITY-data (8).csv,1,367,4,363,2,0,1,4340908.0,5059827.0,2026-02-01 13:59:40,2026-02-01 15:00:00,0,0
AVAILABILITY-data (80).csv,1,367,4,363,2,0,1,537749.0,1728353.0,2026-02-05 08:59:40,2026-02-05 10:00:00,0,0
AVAILABILITY-data (81).csv,1,367,4,363,2,0,1,1433779.0,2674483.0,2026-02-05 09:59:40,2026-02-05 11:00:00,0,0
AVAILABILITY-data (82).csv,1,367,4,363,2,0,1,2636245.0,3447982.0,2026-02-05 10:59:40,2026-02-05 12:00:00,0,0
AVAILABILITY-data (83).csv,1,367,4,363,2,0,1,3447672.0,4315005.0,2026-02-05 11:59:40,2026-02-05 13:00:00,0,0
AVAILABILITY-data (84).csv,1,367,4,363,2,0,1,4297744.0,5036615.0,2026-02-05 12:59:40,2026-02-05 14:00:00,0,0
AVAILABILITY-data (85).csv,1,367,4,363,2,0,1,5030900.0,5651053.0,2026-02-05 13:59:40,2026-02-05 15:00:00,0,0
AVAILABILITY-data (86).csv,1,367,4,363,2,0,1,5493171.0,6094399.0,2026-02-05 14:59:40,2026-02-05 16:00:00,0,0
AVAILABILITY-data (87).csv,1,367,4,363,2,0,1,6003566.0,6107574.0,2026-02-05 15:59:40,2026-02-05 17:00:00,0,0
AVAILABILITY-data (88).csv,1,367,4,363,2,0,1,5798024.0,6059151.0,2026-02-05 16:59:40,2026-02-05 18:00:00,0,0
AVAILABILITY-data (89).csv,1,367,4,363,2,0,1,5599859.0,5813477.0,2026-02-05 17:59:40,2026-02-05 19:00:00,0,0
AVAILABILITY-data (9).csv,1,367,4,363,2,0,1,5026136.0,5224516.0,2026-02-01 14:59:40,2026-02-01 16:00:00,0,0
AVAILABILITY-data (90).csv,1,367,4,363,2,0,1,5438816.0,5625773.0,2026-02-05 18:59:40,2026-02-05 20:00:00,0,0
AVAILABILITY-data (91).csv,1,367,4,363,2,0,1,4861086.0,5476694.0,2026-02-05 19:59:40,2026-02-05 21:00:00,0,0
AVAILABILITY-data (92).csv,1,367,4,363,2,0,1,2980349.0,4864163.0,2026-02-05 20:59:40,2026-02-05 22:00:00,0,0
AVAILABILITY-data (93).csv,1,367,4,363,2,0,1,2844215.0,3933108.0,2026-02-05 21:59:40,2026-02-05 23:00:00,0,0
AVAILABILITY-data (94).csv,1,367,4,363,2,0,1,1396354.0,2849246.0,2026-02-05 22:59:40,2026-02-06 00:00:00,0,0
AVAILABILITY-data (95).csv,1,46,4,42,2,0,1,0.0,1399184.0,2026-02-05 23:59:40,2026-02-06 00:06:30,0,0
AVAILABILITY-data (96).csv,1,297,4,293,2,0,1,0.0,19082.0,2026-02-06 06:11:20,2026-02-06 07:00:00,0,0
AVAILABILITY-data (97).csv,1,367,4,363,2,0,1,17248.0,49732.0,2026-02-06 06:59:40,2026-02-06 08:00:00,0,0
AVAILABILITY-data (98).csv,1,341,4,337,2,0,1,237035.0,554830.0,2026-02-06 08:04:00,2026-02-06 09:00:00,0,0
AVAILABILITY-data (99).csv,1,367,4,363,2,0,1,554519.0,1769601.0,2026-02-06 08:59:40,2026-02-06 10:00:00,0,0
AVAILABILITY-data - 2026-02-11T155953.683.csv,1,367,4,363,2,0,1,2749152.0,3496699.0,2026-02-06 10:59:40,2026-02-06 12:00:00,0,0
AVAILABILITY-data - 2026-02-11T155958.052.csv,1,367,4,363,2,0,1,3484859.0,4382917.0,2026-02-06 11:59:40,2026-02-06 13:00:00,0,0
AVAILABILITY-data - 2026-02-11T160002.161.csv,1,367,4,363,2,0,1,4372455.0,5100639.0,2026-02-06 12:59:40,2026-02-06 14:00:00,0,0
AVAILABILITY-data - 2026-02-11T160006.379.csv,1,367,4,363,2,0,1,5090108.0,5899714.0,2026-02-06 13:59:40,2026-02-06 15:00:00,0,0
AVAILABILITY-data - 2026-02-11T160010.761.csv,1,367,4,363,2,0,1,5892778.0,6192228.0,2026-02-06 14:59:40,2026-02-06 16:00:00,0,0
AVAILABILITY-data - 2026-02-11T160224.727.csv,1,367,4,363,2,0,1,5892778.0,6192228.0,2026-02-06 14:59:40,2026-02-06 16:00:00,0,0
AVAILABILITY-data - 2026-02-11T160230.006.csv,1,367,4,363,2,0,1,6047861.0,6198472.0,2026-02-06 15:59:40,2026-02-06 17:00:00,0,0
AVAILABILITY-data - 2026-02-11T160237.917.csv,1,367,4,363,2,0,1,5851278.0,6124001.0,2026-02-06 16:59:40,2026-02-06 18:00:00,0,0
AVAILABILITY-data - 2026-02-11T160244.116.csv,1,367,4,363,2,0,1,5601701.0,5866732.0,2026-02-06 17:59:40,2026-02-06 19:00:00,0,0
AVAILABILITY-data - 2026-02-11T160249.368.csv,1,367,4,363,2,0,1,5430438.0,5685503.0,2026-02-06 18:59:40,2026-02-06 20:00:00,0,0
AVAILABILITY-data - 2026-02-11T160254.541.csv,1,367,4,363,2,0,1,4802937.0,5540833.0,2026-02-06 19:59:40,2026-02-06 21:00:00,0,0
AVAILABILITY-data - 2026-02-11T160300.614.csv,1,367,4,363,2,0,1,3812369.0,4823025.0,2026-02-06 20:59:40,2026-02-06 22:00:00,0,0
AVAILABILITY-data - 2026-02-11T160305.443.csv,1,367,4,363,2,0,1,2757558.0,3828279.0,2026-02-06 21:59:40,2026-02-06 23:00:00,0,0
